entry_time,exit_time,direction,leg,pnl,exit_hit
2026-03-15 07:13:00+00:00,2026-03-15 07:53:00+00:00,short,remainder,-1.8293475522216933,ema21_close
2026-03-16 11:43:00+00:00,2026-03-16 11:43:00+00:00,long,full,-5.556125428897983,init_sl
2026-03-16 11:45:00+00:00,2026-03-16 11:45:00+00:00,long,partial,-0.9154993422184702,partial_tp
2026-03-16 11:45:00+00:00,2026-03-16 11:46:00+00:00,long,remainder,-1.818839105980344,breakeven
2026-03-17 07:52:00+00:00,2026-03-17 07:52:00+00:00,long,full,-4.665161802393355,init_sl
2026-04-01 16:05:00+00:00,2026-04-01 16:06:00+00:00,long,partial,-0.871166400437853,partial_tp
2026-04-01 16:05:00+00:00,2026-04-01 16:07:00+00:00,long,remainder,-1.8177920649376136,breakeven
2026-04-02 21:34:00+00:00,2026-04-02 21:40:00+00:00,long,partial,-0.8487838370400251,partial_tp
2026-04-02 21:34:00+00:00,2026-04-02 21:40:00+00:00,long,remainder,-0.4031859354273568,runner_resistance
2026-04-03 08:33:00+00:00,2026-04-03 08:35:00+00:00,long,remainder,-2.214365542613593,ema21_close
2026-04-03 09:18:00+00:00,2026-04-03 09:18:00+00:00,long,full,-3.013634359035507,init_sl
2026-04-03 09:20:00+00:00,2026-04-03 09:20:00+00:00,long,full,-3.012629210627844,init_sl
2026-04-03 11:45:00+00:00,2026-04-03 11:48:00+00:00,short,remainder,-1.6315140455253183,runner_support
2026-04-03 14:29:00+00:00,2026-04-03 14:33:00+00:00,long,full,-5.008278540374004,init_sl
2026-04-03 19:00:00+00:00,2026-04-03 19:00:00+00:00,short,remainder,-1.8336939279845088,ema21_close
2026-04-04 07:33:00+00:00,2026-04-04 07:33:00+00:00,short,full,-3.278657191921212,init_sl
2026-04-04 07:35:00+00:00,2026-04-04 07:35:00+00:00,short,full,-3.2774655697100195,init_sl
2026-04-04 16:45:00+00:00,2026-04-04 16:46:00+00:00,long,remainder,-2.2479012966589877,ema21_close
2026-04-05 07:44:00+00:00,2026-04-05 08:07:00+00:00,short,remainder,-2.4035490548629213,ema21_close
2026-04-07 08:49:00+00:00,2026-04-07 08:51:00+00:00,long,partial,-0.8462389840964285,partial_tp
2026-04-07 08:49:00+00:00,2026-04-07 08:54:00+00:00,long,remainder,-1.8116069647032575,breakeven
2026-04-10 11:09:00+00:00,2026-04-10 11:09:00+00:00,long,full,-5.673290983766039,init_sl
2026-04-10 11:18:00+00:00,2026-04-10 11:19:00+00:00,long,partial,-0.8605132188281952,partial_tp
2026-04-10 11:18:00+00:00,2026-04-10 11:21:00+00:00,long,remainder,0.6962838472715169,runner_resistance
2026-04-14 17:54:00+00:00,2026-04-14 17:55:00+00:00,long,full,-5.205723582749377,init_sl
2026-04-14 18:03:00+00:00,2026-04-14 18:07:00+00:00,long,partial,-0.8754993143843774,partial_tp
2026-04-14 18:03:00+00:00,2026-04-14 18:08:00+00:00,long,remainder,1.3917980782020112,runner_resistance
2026-04-19 13:39:00+00:00,2026-04-19 13:44:00+00:00,long,partial,-0.8702680847644864,partial_tp
2026-04-19 13:39:00+00:00,2026-04-19 13:46:00+00:00,long,remainder,1.1098246328381423,runner_resistance
2026-04-19 20:31:00+00:00,2026-04-19 20:34:00+00:00,short,full,-6.976178245090597,init_sl
2026-04-22 21:27:00+00:00,2026-04-22 21:29:00+00:00,long,partial,-0.8570292039857744,partial_tp
2026-04-22 21:27:00+00:00,2026-04-22 21:29:00+00:00,long,remainder,-0.7714892223176912,runner_resistance
2026-04-22 21:59:00+00:00,2026-04-22 22:00:00+00:00,long,full,-4.222077759179568,init_sl
2026-04-23 21:33:00+00:00,2026-04-23 21:36:00+00:00,long,remainder,-1.4901234491854336,runner_resistance
2026-04-24 11:54:00+00:00,2026-04-24 11:55:00+00:00,long,remainder,-1.9686381359479033,ema21_close
2026-04-29 21:58:00+00:00,2026-04-29 21:58:00+00:00,long,remainder,-2.0231610728144367,ema21_close
2026-05-01 08:47:00+00:00,2026-05-01 08:47:00+00:00,short,remainder,-1.8841972350031166,ema21_close
2026-05-02 17:07:00+00:00,2026-05-02 17:22:00+00:00,long,remainder,-1.824576602562829,ema21_close
2026-05-03 07:59:00+00:00,2026-05-03 08:00:00+00:00,long,remainder,-2.0873865785195296,ema21_close
2026-05-05 11:58:00+00:00,2026-05-05 11:59:00+00:00,long,partial,-0.8195094445359719,partial_tp
2026-05-05 11:58:00+00:00,2026-05-05 12:00:00+00:00,long,remainder,-1.8043920929655715,breakeven
2026-05-05 16:23:00+00:00,2026-05-05 16:24:00+00:00,short,partial,-0.8194575805733447,partial_tp
2026-05-05 16:23:00+00:00,2026-05-05 16:24:00+00:00,short,remainder,0.17479142413033943,runner_support
2026-05-05 16:44:00+00:00,2026-05-05 16:44:00+00:00,short,remainder,-7.354857657323052,runner_support
2026-05-06 15:50:00+00:00,2026-05-06 15:50:00+00:00,short,partial,-0.8446029109115638,partial_tp
2026-05-06 15:50:00+00:00,2026-05-06 15:53:00+00:00,short,remainder,-1.8019924770726263,breakeven
